browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Firefox,Windows, Windows 10, Dell XPS 13,ToyTreasure_NO_performance,paid_search,google_ads_shopping
Safari,Android, Android 12, Samsung Galaxy Z Fold 3,[''],FoodFiesta_MX_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),Windows, Windows 10, Asus ROG Zephyrus G14,UrbanUniverse_NI_broad,paid_display,google_ads_display
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch 2019),TechTrove_VU_broad,direct,direct
Opera,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],GourmetGala_MH_performance,paid_social,meta_ads_shopping
Edge,macOS, macOS Catalina," MacBook Pro 13""",TravelTrove_PY_buying,organic,search
Opera,Android, Android 12, Google Pixel 4,GardenGala_IE_performance,paid_display,meta_ads_display
Firefox,Windows, Windows 11, Asus VivoBook S15,JewelryJubilee_DK_buying,organic,search
Opera,macOS, macOS Catalina, iMac (27-inch 2019),HealthHaven_GD_broad,paid_social,pinterest_ads
Firefox,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,HomeHarbor_CC_buying,paid_social,linkedin_ads
Samsung Internet,macOS, macOS Catalina, iMac Pro (2019),PetParty_AG_performance,organic,search
Firefox,Windows, Windows 10, Dell XPS 13,LuxuryLounge_YT_broad,paid_retargeting,google_ads_retargeting
Samsung Internet,Windows, Windows 10, Asus ZenBook 13,WinterClearance_CA_buying,paid_social,linkedin_ads
Chrome,macOS, macOS Big Sur, iMac (2020),TechExpo_FR_broad,paid_display,meta_ads_display
Chrome,Windows, Windows 11, Asus VivoBook S15,PetParty_AG_performance,direct,direct
Safari,Android, Android 6, Moto G4,TravelTrove_DG_performance,paid_social,linkedin_ads
Safari,macOS, macOS Catalina," MacBook Pro 13""",SummerFest_UK_performance,paid_social,x_ads
Safari (in-app),Windows, Windows 11, Lenovo ThinkPad T14s,[''],AdventureAtlas_CX_broad,paid_retargeting,meta_ads_retargeting
Edge,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],WellnessWave_PW_buying,paid_social,x_ads
Opera,Android, Android 11, Samsung Galaxy A51,FashionFestival_GY_buying,paid_search,google_ads_brand
Safari,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],TechExpo_FR_broad,paid_social,meta_ads_shopping
