browser,os, os_version, device_mode,,utm_campaign,utm_medium,utm_source
Safari,Windows, Windows 11, Dell Alienware m15 R4,[''],KidsKingdom_AR_broad,paid_search,google_ads_brand
Safari (in-app),macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),SportsMania_BR_broad,paid_social,meta_ads_shopping
Firefox,Android, Android 8, Samsung Galaxy J7,TechTrove_VU_broad,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell Latitude 7410,AutoAlley_GT_performance,paid_search,google_ads_brand
Safari,Windows, Windows 11, Asus ROG Flow X13,GourmetGala_PE_buying,paid_social,x_ads
Safari (in-app),Windows, Windows 11, Lenovo IdeaPad 3,NatureNook_MP_broad,paid_social,meta_ads_shopping
Chrome,Android, Android 11, Samsung Galaxy Note 20,BackToSchool_AU_buying,paid_social,meta_ads_shopping
Samsung Internet,iOS, iOS 13.6, iPhone 8,FashionWeek_IT_performance,organic,search
Opera,Windows, Windows 11, Lenovo IdeaPad Flex 5,TravelFiesta_IN_performance,paid_social,meta_ads_awareness
Edge,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),AdventureAtlas_CX_broad,paid_social,linkedin_ads
Firefox,Android, Android 10, Samsung Galaxy A70,ArtAtrium_BM_buying,paid_search,google_ads_shopping
Samsung Internet,Android, Android 12, Samsung Galaxy Note 21,[''],GadgetGrove_RE_broad,paid_social,meta_ads_awareness
Chrome,iOS, iOS 13.7, iPhone X,ToyTemple_DM_buying,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy A30,AutoAvenue_CZ_broad,paid_social,youtube_ads
Edge,Android, Android 11, Samsung Galaxy S20 Ultra,LuxuryLounge_YT_broad,paid_social,meta_ads_awareness
Firefox,Android, Android 12, OnePlus 9 Pro,BeautyBoulevard_PG_buying,paid_social,youtube_ads
Safari,Windows, Windows 10, Dell XPS 13,NatureNiche_KY_buying,paid_search,google_ads_shopping
Samsung Internet,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),ToyTemple_DM_buying,paid_search,google_ads_brand
Samsung Internet,Windows, Windows 11, Dell Alienware m15 R4,[''],TechTrends_UY_buying,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 10, Asus ZenBook 13,JewelryJunction_KN_broad,paid_social,meta_ads_awareness
