browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Firefox,Android, Android 10, Samsung Galaxy S10,AdventureArchipelago_BL_buying,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Dell XPS 13,GardenGrove_LC_buying,paid_display,google_ads_display
Firefox,Android, Android 6, Moto G4,ArtAuction_BE_broad,paid_search,google_ads_brand
Edge,macOS, macOS Catalina, iMac (21.5-inch 2019),ToyTreasure_CK_broad,paid_display,google_ads_display
Safari (in-app),macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),NatureNook_MP_broad,paid_display,meta_ads_display
Safari (in-app),Windows, Windows 11, Lenovo ThinkBook 14,GourmetGrove_MQ_buying,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,ArtAuction_BE_broad,direct,direct
Opera,Windows, Windows 10, Asus VivoBook Flip 14,CraftCraze_GS_performance,paid_social,meta_ads_awareness
Opera,macOS, macOS Catalina, iMac (21.5-inch 2019),KidsKingdom_VI_buying,paid_display,meta_ads_display
Edge,Windows, Windows 10, Lenovo Yoga C940,TravelTrove_PY_buying,paid_search,google_ads_shopping
Safari,Windows, Windows 11, Lenovo Legion 5 Pro,[''],GardenGrove_BS_buying,paid_social,pinterest_ads
Opera,Android, Android 8, Samsung Galaxy S8,CraftCraze_BZ_buying,organic,search
Chrome,Windows, Windows 10, Asus ROG Strix Scar 15,WinterClearance_CA_buying,paid_social,youtube_ads
Safari (in-app),Android, Android 11, Samsung Galaxy S20,ToyTreasure_GD_buying,paid_search,google_ads_shopping
Safari (in-app),macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),HolidaySpecials_DE_broad,paid_search,google_ads_shopping
Edge,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],AutoAlley_GT_performance,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 12, Google Pixel 4,SpringSale_US_broad,paid_search,google_ads_brand
Firefox,Android, Android 10, Samsung Galaxy S10,FoodFusion_AI_performance,paid_social,youtube_ads
Samsung Internet,iOS, iOS 14.6, iPad Pro 12.9,HealthHub_HU_buying,paid_social,meta_ads_shopping
Samsung Internet,iOS, iOS 14.4, iPhone 12 Mini,PetParty_VC_performance,paid_social,x_ads
Firefox,Android, Android 9, Samsung Galaxy Note 9,BeautyBoulevard_MQ_buying,paid_social,meta_ads_awareness
Safari (in-app),Windows, Windows 11, Asus VivoBook 14,AutoAlley_GT_performance,paid_social,meta_ads_awareness
Firefox,Android, Android 9, Samsung Galaxy Note 9,HolidaySpecials_DE_broad,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 10, Samsung Galaxy A70,PetParade_AX_broad,direct,direct
Chrome,Android, Android 9, Samsung Galaxy Note 9,GadgetGrove_AI_buying,paid_social,pinterest_ads
Firefox,Android, Android 11, Samsung Galaxy Note 20,FoodFestival_TV_performance,paid_social,youtube_ads
Opera,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],ArtAtrium_NU_buying,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 11, Asus ZenBook Flip 13,JewelryJunction_AQ_buying,paid_social,x_ads
Firefox,Android, Android 11, Google Pixel 5,GourmetGrove_BO_broad,paid_display,meta_ads_display
Chrome,Android, Android 10, Samsung Galaxy S10e,HomeDecorSale_CN_buying,paid_social,pinterest_ads
Firefox,Android, Android 11, Samsung Galaxy A51,GourmetGrove_BO_broad,paid_social,linkedin_ads
Firefox,Android, Android 11, Samsung Galaxy S20,CraftCarnival_TV_broad,paid_search,google_ads_brand
Safari (in-app),iOS, iOS 14.7, iPad Air 4th Gen,EcoExhibit_GR_performance,paid_social,linkedin_ads
Safari (in-app),macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),SummerFest_UK_performance,organic,search
Edge,Android, Android 9, Samsung Galaxy Note 9,BeautyBlitz_SA_performance,organic,search
Firefox,Windows, Windows 11, Asus TUF Gaming A15,[''],LuxuryLounge_YT_broad,paid_social,youtube_ads
Firefox,Android, Android 9, Samsung Galaxy A30,KidsKarnival_PA_performance,paid_social,meta_ads_awareness
Chrome,Android, Android 9, Samsung Galaxy S9+,SportsMania_BR_broad,paid_social,meta_ads_shopping
Safari (in-app),Android, Android 7, Samsung Galaxy J5,CraftCarnival_TT_buying,paid_social,pinterest_ads
Opera,macOS, macOS Big Sur, MacBook Air,FoodFiesta_MX_buying,paid_search,google_ads_brand
Samsung Internet,Android, Android 10, Samsung Galaxy S10,TechTrove_SR_broad,paid_social,meta_ads_shopping
Samsung Internet,Android, Android 7, Samsung Galaxy S7,AdventureArena_CH_buying,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 7, Samsung Galaxy S7,GadgetGrove_WS_broad,paid_social,linkedin_ads
Samsung Internet,iOS, iOS 14.1, iPhone 11,GourmetGrove_BO_broad,paid_display,meta_ads_display
Chrome,Windows, Windows 10, Asus VivoBook Flip 14,NatureNest_IC_performance,direct,direct
Safari (in-app),Android, Android 12, Samsung Galaxy S21,[''],JewelryJunction_AQ_buying,paid_display,google_ads_display
Samsung Internet,Android, Android 9, Samsung Galaxy Note 9,FoodFusion_AG_broad,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 10, Asus VivoBook Flip 14,UrbanUniverse_NI_broad,paid_display,google_ads_display
Safari,Android, Android 8, Samsung Galaxy J7,WellnessWave_RE_broad,organic,search
Firefox,macOS, macOS Monterey, iMac (24-inch M1 2021),NatureNest_IC_performance,paid_social,meta_ads_awareness
Edge,iOS, iOS 14.3, iPhone 12 Pro,TechTrove_VU_broad,direct,direct
Safari (in-app),macOS, macOS Big Sur, MacBook Air,NatureNest_IL_performance,paid_social,youtube_ads
Safari (in-app),Android, Android 12, OnePlus 9 Pro,LuxuryLobby_HT_performance,direct,direct
Firefox,Android, Android 11, Samsung Galaxy A51,TechTrends_UY_buying,paid_social,meta_ads_awareness
Samsung Internet,Windows, Windows 10, Asus VivoBook Flip 14,TravelTrove_PY_buying,paid_social,linkedin_ads
Opera,iOS, iOS 14.2, iPhone 12,GardenGrove_BS_buying,paid_search,google_ads_brand
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (16-inch 2020),HolidaySpecials_DE_broad,paid_display,google_ads_display
Opera,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),SportsSensation_FJ_performance,paid_search,google_ads_shopping
Opera,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,TechExpo_FR_broad,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 8, Samsung Galaxy S8+,UrbanUniverse_MS_broad,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 8, Samsung Galaxy S8+,TechTrove_VU_broad,paid_retargeting,google_ads_retargeting
Samsung Internet,Android, Android 8, Samsung Galaxy J7,AutoAlley_VC_performance,paid_search,google_ads_brand
Opera,Windows, Windows 10, Dell Inspiron 15 3000,MusicMela_NZ_performance,paid_social,meta_ads_shopping
Firefox,iOS, iOS 14.5, iPhone SE (2nd),FashionFestival_BW_buying,paid_retargeting,meta_ads_retargeting
Safari,macOS, macOS Catalina," MacBook Pro 13""",HealthHaven_GD_broad,paid_display,google_ads_display
Safari (in-app),Android, Android 11, Samsung Galaxy Tab S7,FoodFusion_AI_performance,paid_search,google_ads_brand
Safari,Android, Android 11, Samsung Galaxy S20 Ultra,TechTrends_PM_buying,direct,direct
Samsung Internet,Android, Android 6, Moto G4,TechTrove_SR_broad,paid_social,linkedin_ads
Samsung Internet,iOS, iOS 14.4, iPhone 12 Mini,FashionFiesta_VE_performance,paid_social,meta_ads_awareness
Samsung Internet,Android, Android 7, Samsung Galaxy S7 Edge,ToyTreasure_CK_broad,paid_display,google_ads_display
Safari (in-app),macOS, macOS Big Sur, iMac (27-inch 2020),JewelryJunction_SH_performance,paid_display,google_ads_display
Edge,Windows, Windows 10, Dell Vostro 15 7500,FoodFusion_AG_broad,paid_social,x_ads
Samsung Internet,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],SportsSensation_FJ_performance,paid_display,google_ads_display
Safari,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],TravelTreasures_PR_broad,paid_social,youtube_ads
Firefox,macOS, macOS Monterey, iMac Pro (2021),[''],HealthHive_WS_performance,paid_social,meta_ads_awareness
Samsung Internet,Windows, Windows 10, Dell XPS 13,BeautyBlitz_SA_performance,paid_social,linkedin_ads
Chrome,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),VintageVault_TF_buying,paid_display,google_ads_display
Chrome,Windows, Windows 11, Asus ROG Flow X13,AutoAvenue_BQ_broad,paid_retargeting,google_ads_retargeting
Opera,macOS, macOS Catalina, MacBook Pro (16-inch 2019),PetPalace_PM_buying,paid_social,meta_ads_awareness
Safari,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],PetParade_AX_broad,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 7, Samsung Galaxy S7,JewelryJunction_SH_performance,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy Tab S7,WellnessWorld_EC_performance,paid_social,meta_ads_shopping
Edge,Android, Android 9, Samsung Galaxy A30,ArtAuction_BE_broad,paid_social,meta_ads_shopping
Safari,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],BackToSchool_AU_buying,direct,direct
Safari,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,KidsKingdom_NC_performance,paid_search,google_ads_brand
Safari,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],SportsSpectacle_PA_broad,paid_retargeting,meta_ads_retargeting
Edge,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),CraftCraze_BZ_buying,paid_social,youtube_ads
Edge,macOS, macOS Catalina, MacBook Pro (13-inch 2019),TechTrends_PM_buying,paid_search,google_ads_shopping
Safari,Android, Android 6, Moto G4,JewelryJunction_AQ_buying,paid_social,linkedin_ads
Edge,Android, Android 10, Samsung Galaxy S10e,VintageVault_TF_buying,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 10, OnePlus 8,JewelryJunction_AQ_buying,paid_social,youtube_ads
Safari (in-app),macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),MusicMajesty_KI_broad,paid_social,x_ads
Safari,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],UrbanUtopia_EA_buying,paid_display,meta_ads_display
Opera,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],TechTrends_UY_buying,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 12, Samsung Galaxy A52,ToyTemple_DM_buying,paid_social,pinterest_ads
Firefox,Android, Android 7, Samsung Galaxy S7 Edge,HomeDecorSale_CN_buying,direct,direct
Chrome,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),ToyTemple_FK_broad,paid_social,meta_ads_awareness
Edge,macOS, macOS Big Sur, iMac (27-inch 2020),ToyTemple_FK_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),iOS, iOS 14.3, iPhone 12 Pro,HomeDecorSale_CN_buying,paid_display,google_ads_display
Samsung Internet,iOS, iOS 14.6, iPad Pro 12.9,BeautyBlast_DO_performance,paid_display,meta_ads_display
Edge,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),JewelryJunction_HT_broad,paid_display,meta_ads_display
Opera,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),NatureNiche_HN_buying,paid_search,google_ads_brand
Opera,Windows, Windows 11, Dell Precision 7550,UrbanUtopia_GU_performance,paid_social,pinterest_ads
Opera,iOS, iOS 14.3, iPhone 12 Pro,JewelryJubilee_DK_buying,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 10, Samsung Galaxy Note 10,GardenGala_IE_performance,paid_social,pinterest_ads
Chrome,macOS, macOS Catalina, MacBook Pro (16-inch 2019),WellnessWave_RE_broad,paid_display,meta_ads_display
Edge,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],AdventureAtlas_NR_buying,paid_display,meta_ads_display
Edge,Windows, Windows 10, Lenovo Legion Y540,NatureNest_IC_performance,paid_display,google_ads_display
Firefox,Android, Android 11, Samsung Galaxy Note 20,TechTrends_UY_buying,paid_display,meta_ads_display
Samsung Internet,Windows, Windows 10, Asus ROG Strix Scar 15,GourmetGala_PE_buying,paid_social,pinterest_ads
Opera,Android, Android 8, Samsung Galaxy J7,MusicMajesty_HM_performance,paid_search,google_ads_brand
Safari,Android, Android 11, Samsung Galaxy Note 20,SportsMania_BR_broad,paid_display,google_ads_display
Safari (in-app),Android, Android 12, Samsung Galaxy A52,JewelryJunction_TK_performance,paid_social,linkedin_ads
Opera,Android, Android 10, Samsung Galaxy S10,AutoAvenue_BQ_broad,paid_display,meta_ads_display
Safari,Android, Android 10, OnePlus 8,HolidaySpecials_DE_broad,organic,search
Chrome,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],KidsKingdom_AR_broad,direct,direct
Firefox,iOS, iOS 13.6, iPhone 8,UrbanUtopia_EA_buying,paid_retargeting,google_ads_retargeting
Safari,iOS, iOS 14.6, iPad Pro 12.9,TechExpo_FR_broad,paid_social,youtube_ads
Chrome,macOS, macOS Catalina, MacBook Pro (13-inch 2019),SpringSale_US_broad,paid_social,pinterest_ads
Firefox,iOS, iOS 13.6, iPhone 8,HomeHarmony_BM_broad,paid_search,google_ads_brand
Safari,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),ArtAuction_BV_broad,direct,direct
Opera,Windows, Windows 10, Asus ZenBook 13,JewelryJunction_AQ_buying,paid_social,meta_ads_shopping
Samsung Internet,Android, Android 7, HTC U11,GourmetGala_MH_performance,organic,search
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch 2019),AdventureAtlas_CX_broad,paid_display,google_ads_display
Samsung Internet,Android, Android 11, Samsung Galaxy S20 Ultra,GadgetGalore_RU_broad,paid_search,google_ads_shopping
