meal_name, meal_price, meal_kitchen, meal_avg_rating, meal_num_rating, meal_diet
Chicken Tikka Masala, 15.99, Indian Cuisine, 4.6, 234, Non-Vegetarian
Margherita Pizza, 12.99, Italian Cuisine, 4.5, 289, Vegetarian
General Tso's Chicken, 14.99, Chinese Cuisine, 4.4, 312, Non-Vegetarian
Coq au Vin, 18.99, French Cuisine, 4.8, 423, Non-Vegetarian
BBQ Ribs Platter, 22.99, American Cuisine, 4.7, 365, Non-Vegetarian
Sushi Deluxe, 24.99, Japanese Cuisine, 4.6, 387, Non-Vegetarian
Moussaka, 16.99, Mediterranean Cuisine, 4.3, 256, Non-Vegetarian
Pad Thai, 13.99, Thai Cuisine, 4.5, 328, Vegetarian
Burrito Bowl, 11.99, Mexican Cuisine, 4.4, 289, Non-Vegetarian
Caprese Salad, 9.99, Italian Cuisine, 4.2, 198, Vegetarian
Kung Pao Tofu, 12.99, Chinese Cuisine, 4.3, 312, Vegetarian
Croque Monsieur, 14.99, French Cuisine, 4.6, 354, Non-Vegetarian
Grilled Chicken Caesar Salad, 13.99, American Cuisine, 4.5, 287, Non-Vegetarian
California Roll, 10.99, Japanese Cuisine, 4.4, 256, Non-Vegetarian
Falafel Wrap, 11.99, Mediterranean Cuisine, 4.2, 221, Vegetarian
Green Curry, 15.99, Thai Cuisine, 4.5, 312, Vegetarian
Tacos al Pastor, 12.99, Mexican Cuisine, 4.4, 289, Non-Vegetarian
Lasagna, 16.99, Italian Cuisine, 4.3, 265, Non-Vegetarian
Beef and Broccoli, 17.99, Chinese Cuisine, 4.4, 298, Non-Vegetarian
Duck Confit, 19.99, French Cuisine, 4.7, 398, Non-Vegetarian
New York Strip Steak, 26.99, American Cuisine, 4.8, 452, Non-Vegetarian
Tempura Udon, 15.99, Japanese Cuisine, 4.6, 387, Non-Vegetarian
Greek Salad, 11.99, Mediterranean Cuisine, 4.1, 189, Vegetarian
Tom Yum Soup, 9.99, Thai Cuisine, 4.4, 276, Vegetarian
Enchiladas, 13.99, Mexican Cuisine, 4.3, 265, Non-Vegetarian
Spaghetti Carbonara, 14.99, Italian Cuisine, 4.5, 312, Non-Vegetarian
Sweet and Sour Pork, 16.99, Chinese Cuisine, 4.3, 278, Non-Vegetarian
Bouillabaisse, 21.99, French Cuisine, 4.7, 432, Non-Vegetarian
Burger and Fries, 12.99, American Cuisine, 4.6, 387, Non-Vegetarian
Tempura Sushi Roll, 11.99, Japanese Cuisine, 4.4, 289, Non-Vegetarian
Hummus Platter, 10.99, Mediterranean Cuisine, 4.2, 221, Vegetarian
Green Curry with Chicken, 16.99, Thai Cuisine, 4.5, 312, Non-Vegetarian
Nachos, 13.99, Mexican Cuisine, 4.4, 289, Non-Vegetarian
Chicken Parmesan, 15.99, Italian Cuisine, 4.3, 265, Non-Vegetarian
Vegetable Lo Mein, 12.99, Chinese Cuisine, 4.2, 287, Vegetarian
Ratatouille, 14.99, French Cuisine, 4.6, 354, Vegetarian
Cobb Salad, 13.99, American Cuisine, 4.5, 287, Non-Vegetarian
Sashimi Platter, 25.99, Japanese Cuisine, 4.8, 498, Non-Vegetarian
Tabbouleh, 9.99, Mediterranean Cuisine, 4.1, 189, Vegetarian
Massaman Curry, 15.99, Thai Cuisine, 4.4, 276, Vegetarian
Tamales, 11.99, Mexican Cuisine, 4.3, 265, Non-Vegetarian
Fettuccine Alfredo, 14.99, Italian Cuisine, 4.5, 312, Vegetarian
Egg Drop Soup, 8.99, Chinese Cuisine, 4.1, 233, Vegetarian
Escargot, 18.99, French Cuisine, 4.7, 432, Non-Vegetarian
Buffalo Wings, 12.99, American Cuisine, 4.6, 387, Non-Vegetarian
California Roll, 10.99, Japanese Cuisine, 4.4, 289, Non-Vegetarian
Falafel Platter, 13.99, Mediterranean Cuisine, 4.2, 221, Vegetarian
Yellow Curry, 15.99, Thai Cuisine, 4.5, 312, Vegetarian
