meal_name, meal_price, meal_kitchen, meal_avg_rating, meal_num_rating, meal_diet
Beef and Broccoli, 17.99, Chinese Cuisine, 4.4, 298, Non-Vegetarian
Tempura Bento Box, 23.99, Japanese Cuisine, 4.6, 387, Non-Vegetarian
Chicken Tikka Masala, 15.99, Indian Cuisine, 4.6, 234, Non-Vegetarian
Panang Curry, 13.99, Thai Cuisine, 4.4, 276, Non-Vegetarian
Pesto Pasta, 14.99, Italian Cuisine, 4.5, 312, Vegetarian
Escargot, 18.99, French Cuisine, 4.7, 432, Non-Vegetarian
Enchiladas, 13.99, Mexican Cuisine, 4.3, 265, Non-Vegetarian
Vegetable Pad See Ew, 12.99, Thai Cuisine, 4.5, 328, Vegetarian
Bouillabaisse, 21.99, French Cuisine, 4.7, 432, Non-Vegetarian
Tom Kha Gai, 10.99, Thai Cuisine, 4.4, 276, Vegetarian
Chimichanga, 14.99, Mexican Cuisine, 4.4, 289, Non-Vegetarian
Croque Monsieur, 14.99, French Cuisine, 4.6, 354, Non-Vegetarian
Escargot, 18.99, French Cuisine, 4.7, 432, Non-Vegetarian
Green Curry with Chicken, 16.99, Thai Cuisine, 4.5, 312, Non-Vegetarian
Ravioli alla Vodka, 17.99, Italian Cuisine, 4.5, 289, Vegetarian
Falafel Plate, 14.99, Mediterranean Cuisine, 4.3, 256, Vegetarian
Vegetable Quesadilla, 13.99, Mexican Cuisine, 4.4, 289, Vegetarian
Baba Ganoush, 9.99, Mediterranean Cuisine, 4.1, 189, Vegetarian
Green Curry, 15.99, Thai Cuisine, 4.5, 312, Vegetarian
Lasagna, 16.99, Italian Cuisine, 4.3, 265, Non-Vegetarian
Caprese Salad, 9.99, Italian Cuisine, 4.2, 198, Vegetarian
California Roll, 10.99, Japanese Cuisine, 4.4, 289, Non-Vegetarian
Pulled Pork Platter, 20.99, American Cuisine, 4.7, 365, Non-Vegetarian
Chile Relleno, 12.99, Mexican Cuisine, 4.3, 265, Vegetarian
Tacos al Pastor, 12.99, Mexican Cuisine, 4.4, 289, Non-Vegetarian
Foie Gras, 26.99, French Cuisine, 4.7, 432, Non-Vegetarian
Croque Madame, 15.99, French Cuisine, 4.6, 354, Non-Vegetarian
Greek Salad, 11.99, Mediterranean Cuisine, 4.1, 189, Vegetarian
Bouillabaisse, 21.99, French Cuisine, 4.7, 432, Non-Vegetarian
Stir-fried Vegetables, 12.99, Chinese Cuisine, 4.2, 287, Vegetarian
California Hand Roll, 11.99, Japanese Cuisine, 4.4, 256, Non-Vegetarian
Coq au Vin, 18.99, French Cuisine, 4.8, 423, Non-Vegetarian
Fettuccine Alfredo, 14.99, Italian Cuisine, 4.5, 312, Vegetarian
General Tso's Chicken, 14.99, Chinese Cuisine, 4.4, 312, Non-Vegetarian
Orange Chicken, 16.99, Chinese Cuisine, 4.4, 298, Non-Vegetarian
Fettuccine Alfredo, 14.99, Italian Cuisine, 4.5, 312, Vegetarian
Pasta Primavera, 14.99, Italian Cuisine, 4.5, 312, Vegetarian
